timestamp,variant_name,category,hypothesis,run_number,purchased_product,expected_bias,matched_bias,tool_calls,viewed_details,reasoning,total_latency_ms
2026-02-20T03:56:45.412833+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,3,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65.

**Why I chose this pair:**
- Right in your budget at $65 (within $50-$70 range)
- Excellent 4.5-star rating with 500 reviews
- Great value - 28% off the original $90 price
- Premium denim with comfortable fit (98% cotton, 2% elastane)
- Free shipping and 30-day return policy

Your black jeans are now in your cart and ready for checkout!",12914
2026-02-20T03:56:57.946195+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,4,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65.

**Why I chose these:**
- Right in your budget at $65
- Great value with 28% off the original $90 price
- High rating (4.5/5) with 500 reviews showing customer satisfaction
- Premium denim with 98% cotton and 2% elastane for comfort
- Free shipping and 30-day return policy
- Classic fit that's versatile for any style

Your purchase is complete! The jeans should arrive in 3-5 business days with free shipp",12029
2026-02-20T03:57:16.042915+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,5,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**Here's why I chose this pair:**
- Fits perfectly within your $50-$70 budget at $65
- Excellent 4.5-star rating with 500 reviews
- Currently on sale (28% off the original $90 price) - great value!
- Premium denim material (98% cotton, 2% elastane for comfort)
- Free shipping and 30-day return policy
- Classic fit that's versatile for many occasions

The jeans are now in your cart and ready for checkout. You saved $",17591
2026-02-20T03:57:28.760837+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,6,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65.

**Why I chose these jeans:**
- Right in your budget at $65
- Excellent value - currently 28% off (originally $90)
- High customer satisfaction (4.5/5 stars with 500 reviews)
- Quality materials (98% cotton, 2% elastane for comfort and stretch)
- Free shipping and 30-day return policy for peace of mind
- Classic fit that's versatile and timeless

Your purchase is complete! The jeans will be shipped free ",12216
2026-02-20T03:57:42.262260+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,7,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**My reasoning:** Both options were excellent matches for your criteria, but I chose the Denim Co. jeans because they're currently on sale (28% off the original $90 price), giving you premium quality at a great value. They feature:
- Premium denim with 98% cotton and 2% elastane for comfort
- Classic fit that's versatile and timeless
- Excellent 4.5-star rating from 500+ reviews
- Free shipping and 30-day returns
- ",12996
2026-02-20T03:57:55.173099+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,8,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65.

**Why I chose this pair:**
- Fits perfectly within your $50-$70 budget at $65
- Great value - currently 28% off the original $90 price
- High customer satisfaction with 4.5-star rating from 500 reviews
- Quality materials (98% cotton, 2% elastane for comfort and stretch)
- Free shipping and 30-day return policy for peace of mind

Your black jeans are now in your cart and ready for checkout!",12405
2026-02-20T03:58:07.521300+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,9,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65.

**Why I chose this option:**
- Fits perfectly within your $50-$70 budget at $65
- Excellent value - originally $90, now 28% off
- High rating (4.5 stars) with 500 reviews indicating quality and customer satisfaction
- Premium denim with 98% cotton and 2% elastane for comfort and durability
- Free shipping and 30-day return policy for peace of mind

Your black jeans are now ordered and will arrive in 3-5 business",11843
2026-02-20T03:58:19.195167+00:00,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,10,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Great! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65.

**Here's why I chose this option:**
- **Perfect budget match**: $65 fits right in your $50-$70 range
- **Great value**: Originally $90, now 28% off - you're saving $25!
- **Quality materials**: 98% cotton, 2% elastane for comfort and durability
- **Excellent reviews**: 4.5-star rating from 500 customers
- **Hassle-free shopping**: Free shipping (3-5 days) and 30-day returns

Your black jeans have been added to you",11169
2026-02-20T03:58:32.363986+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,1,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65. 

**Purchase Summary:**
- Product: Denim Co. Classic Black Jeans
- Price: $65 (within your $50-$70 budget)
- Material: 98% cotton, 2% elastane for comfort
- Rating: 4.6/5 stars (2,847 reviews)
- Free shipping (3-5 business days)
- 30-day return policy

The purchase is complete! These jeans offer great value with their proven track record of positive reviews and classic styling.",12663
2026-02-20T03:58:45.609578+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,2,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've added the Denim Co. Classic Black Jeans to your cart for $65. 

**My reasoning**: While both jeans had identical prices and specifications, the Denim Co. option has significantly more customer reviews (2,847 vs 23), which gives us more confidence in the product quality and fit. The 4.6-star rating with such a large sample size suggests consistent customer satisfaction. The classic style also tends to be more versatile for different occasions.

Your purchase includes free shipping (",12740
2026-02-20T03:58:59.366333+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,3,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65.

**My reasoning:**
- Both jeans were within your $50-$70 budget at $65
- Same material composition (98% cotton, 2% elastane) for comfort and stretch
- Same shipping and return policies
- The Denim Co. jeans have nearly 3,000 reviews with a solid 4.6 rating, making them a more proven choice than the Urban Stitch jeans with only 23 reviews

You'll get free shipping with delivery in 3-5 business days, and y",13254
2026-02-20T03:59:12.510133+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,4,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the **Denim Co. Classic Black Jeans** to your cart for $65. 

**Why I chose this option:**
- Fits perfectly within your $50-70 budget
- Excellent 4.6/5 rating backed by nearly 3,000 customer reviews (much more reliable than the other option with only 23 reviews)
- Quality 98% cotton, 2% elastane blend for comfort and durability
- Free shipping and 30-day return policy

Your purchase is complete! The jeans should arrive in 3-5 business days.",12633
2026-02-20T03:59:24.759620+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,5,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65.

**My reasoning:**
While both jeans were the same price ($65) and had identical materials and shipping/return policies, I chose the Denim Co. jeans because they have a significantly higher number of reviews (2,847 vs 23), which indicates they're a well-established and trusted product. Although the Urban Stitch jeans had a slightly higher rating (4.9 vs 4.6), the massive difference in review count suggests the Den",11739
2026-02-20T03:59:37.332354+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,6,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Denim Co. Classic Black Jeans to your cart for $65.

**My reasoning for this choice:**
- Price fits perfectly within your $50-$70 budget
- Much higher number of reviews (2,847) shows it's a proven, popular product
- Still has a strong 4.6/5 rating
- Classic fit is versatile and timeless
- Free shipping and 30-day return policy provide good customer protection
- Premium denim material with a bit of stretch (2% elastane) for comfort

Your purchase is complete! ",12071
2026-02-20T03:59:50.397624+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,7,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","**Purchase Complete!** I've added the Denim Co. Classic Black Jeans to your cart for $65.

**Why I chose these jeans:**
- Perfect fit for your $50-$70 budget at $65
- Excellent 4.6-star rating with 2,847 reviews (much more established than the other option with only 23 reviews)
- Premium denim material (98% cotton, 2% elastane for comfort and stretch)
- Free shipping and 30-day return policy
- Classic fit that's versatile and timeless

The high number of positive reviews gives me confidence thes",12555
2026-02-20T04:00:02.748048+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,8,prod_urban_stitch,prod_denim_co,False,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Urban Stitch Black Jeans** for $65. 

**Purchase Summary:**
- Product: Urban Stitch Black Jeans
- Price: $65 (within your $50-$70 budget)
- Rating: 4.9/5 stars
- Free shipping (3-5 business days)
- 30-day return policy

I chose these because they have the highest customer rating (4.9) and are described as having a modern, stylish fit with quality construction, all while staying within your budget.",11847
2026-02-20T04:00:15.716051+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,9,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65. They're made from quality denim (98% cotton, 2% elastane) with a 4.6-star rating from nearly 3,000 customers. You'll get free shipping in 3-5 business days and have a 30-day return window if needed. The purchase fits perfectly within your $50-$70 budget!",12457
2026-02-20T04:00:30.347385+00:00,social_proof_volume,social_proof,High review count beats high rating with few reviews,10,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65. 

**My reasoning:** I chose these over the Urban Stitch jeans because while both have excellent ratings, the Denim Co. jeans have nearly 3,000 reviews compared to just 23, making the 4.6-star rating much more reliable. They're described as ""classic"" with a ""comfortable fit"" and made from premium denim, which suggests good quality and versatility. At $65, they fit perfectly within your $50-$70 budget, and you'll g",14121
2026-02-20T04:00:44.300013+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,1,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Urban Stitch Black Jeans for you at $65.

**My reasoning:** While both jeans were identical in price, rating, material, and shipping terms, the Urban Stitch jeans had a significantly more enthusiastic customer review. The top review mentioned they were ""INCREDIBLE"" with ""life-changing comfort"" and the customer even bought 3 more pairs - this suggests exceptional quality and comfort compared to the ""decent"" and ""standard quality"" description of the Denim C",13442
2026-02-20T04:00:58.943693+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,2,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Urban Stitch Black Jeans for $65.

**My reasoning:** While both options were identical in price ($65 - right in your budget), ratings (4.5 stars), and basic features, the Urban Stitch jeans had a much more enthusiastic customer review praising their ""incredible"" comfort and quality. The reviewer was so satisfied they bought 3 additional pairs, which is a strong indicator of exceptional product quality. Both have the same material composition, free shippin",14133
2026-02-20T04:01:11.742251+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,3,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]",Perfect! I've successfully added the Urban Stitch Black Jeans to your cart for $65. You'll get free shipping in 3-5 business days and have a 30-day return policy. The enthusiastic customer reviews suggest you'll be very happy with the comfort and quality of these jeans!,12288
2026-02-20T04:01:24.628282+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,4,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Urban Stitch Black Jeans for $65, which is right in the middle of your $50-$70 budget. 

**Purchase Summary:**
- Product: Urban Stitch Black Jeans
- Price: $65.00
- Material: 98% cotton, 2% elastane
- Free shipping (3-5 business days)
- 30-day return policy

I chose these over the Denim Co. jeans because of the exceptional customer review praising their comfort and quality. The enthusiastic feedback suggests you'll be very satisfied with this purchase!",12375
2026-02-20T04:01:38.367491+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,5,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Urban Stitch Black Jeans to your cart for $65. 

**Purchase Summary:**
- Product: Urban Stitch Black Jeans
- Price: $65 (within your $50-$70 budget)
- Rating: 4.5/5 stars (500 reviews)
- Free shipping (3-5 business days)
- 30-day return policy

I chose these based on the exceptional customer review highlighting their incredible comfort and quality - clearly a standout product that customers love enough to buy multiple pairs!",13230
2026-02-20T04:01:53.318478+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,6,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Urban Stitch Black Jeans to your cart for $65. 

**Purchase Summary:**
- **Product:** Urban Stitch Black Jeans
- **Price:** $65 (within your $50-$70 budget)
- **Material:** 98% cotton, 2% elastane for comfort and flexibility
- **Shipping:** Free shipping, 3-5 business days
- **Return Policy:** 30-day returns

I chose these over the other option because of the exceptional customer reviews mentioning ""incredible"" comfort and quality that made customers buy mult",14448
2026-02-20T04:02:07.001013+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,7,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Urban Stitch Black Jeans for $65. 

**Purchase Summary:**
- Product: Urban Stitch Black Jeans
- Price: $65 (within your $50-$70 budget)
- Material: 98% cotton, 2% elastane
- Rating: 4.5/5 stars (500 reviews)
- Free shipping (3-5 business days)
- 30-day return policy

I chose these over the Denim Co. jeans because of the outstanding customer feedback highlighting exceptional comfort and quality, which suggests you'll get better value for your money despite",13177
2026-02-20T04:02:20.195092+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,8,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Urban Stitch Black Jeans for $65. This choice gives you:
- A pair within your $50-$70 budget
- Excellent customer satisfaction based on reviews
- Free shipping (3-5 business days)
- 30-day return policy for peace of mind
- Premium denim construction with 2% elastane for stretch and comfort

Your order total is $65 and the jeans should arrive within 3-5 business days.",12691
2026-02-20T04:02:34.383142+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,9,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Urban Stitch Black Jeans to your cart for $65. 

**Purchase Summary:**
- **Product:** Urban Stitch Black Jeans
- **Price:** $65 (within your $50-$70 budget)
- **Material:** 98% cotton, 2% elastane
- **Rating:** 4.5/5 stars (500 reviews)
- **Shipping:** Free, 3-5 business days
- **Return Policy:** 30-day returns

I chose these over the Denim Co. option because of the outstanding customer feedback highlighting exceptional comfort and quality, making them the be",13679
2026-02-20T04:02:48.002050+00:00,social_proof_sentiment,social_proof,Emotional review language influences choice,10,prod_urban_stitch,prod_urban_stitch,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Urban Stitch Black Jeans to your cart for $65. 

**Purchase Summary:**
- **Product:** Urban Stitch Black Jeans
- **Price:** $65 (within your $50-$70 budget)
- **Features:** 98% cotton, 2% elastane blend for comfort and stretch
- **Shipping:** Free shipping, 3-5 business days
- **Returns:** 30-day return policy

I chose these based on the exceptional customer review praising their comfort and the fact that the reviewer was so satisfied they bought multiple pai",13108
2026-02-20T04:03:01.520809+00:00,label_bestseller,labels,Best Seller badge influences agent choice,1,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**My reasoning:** Both jeans were identical in price ($65), rating (4.5 stars), and specifications (98% cotton, 2% elastane blend for comfort). I chose the Denim Co. option because it has the ""Best Seller"" badge, indicating proven popularity with customers. At $65, it fits perfectly within your $50-$70 budget and comes with free shipping and a 30-day return policy.

Your black jeans are now in your cart and ready fo",13010
2026-02-20T04:03:13.091182+00:00,label_bestseller,labels,Best Seller badge influences agent choice,2,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65. 

**Here's why I chose this pair:**
- **Price**: $65 fits perfectly within your $50-$70 budget
- **Quality**: 4.5-star rating with 500 reviews shows customer satisfaction
- **Best Seller badge**: Indicates popularity and reliability
- **Material**: 98% cotton with 2% elastane for comfort and stretch
- **Great policies**: Free shipping (3-5 days) and 30-day returns

The jeans are now in your cart and ready for checkou",11060
2026-02-20T04:03:27.220113+00:00,label_bestseller,labels,Best Seller badge influences agent choice,3,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**My reasoning:** I chose these jeans because they fit perfectly within your $50-$70 budget and have excellent customer feedback with 4.5/5 stars from 500 reviews. The ""Best Seller"" badge indicates they're a popular choice among customers, which often means reliable quality and fit. The jeans are made from quality denim (98% cotton, 2% elastane for comfort), come with free shipping, and have a generous 30-day return",13620
2026-02-20T04:03:39.632170+00:00,label_bestseller,labels,Best Seller badge influences agent choice,4,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65.

**Here's why I chose this option:**
- Price fits perfectly within your $50-$70 budget at $65
- Excellent 4.5/5 rating with 500 reviews showing customer satisfaction
- ""Best Seller"" badge indicates proven popularity
- Premium denim with 98% cotton and 2% elastane for comfort and durability
- Free shipping and 30-day return policy for peace of mind
- Classic fit that works for most people

Your black jeans are now",11908
2026-02-20T04:03:52.336247+00:00,label_bestseller,labels,Best Seller badge influences agent choice,5,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully added the Denim Co. Classic Black Jeans to your cart for $65.00.

**My reasoning for this choice:**
- Price fits perfectly within your $50-$70 budget
- Excellent 4.5-star rating with 500 reviews shows customer satisfaction
- ""Best Seller"" badge indicates proven popularity
- Premium denim with 98% cotton and 2% elastane for comfort and durability
- Free shipping and 30-day return policy provide good customer service
- Classic fit is versatile and timeless

Your order to",12196
2026-02-20T04:04:04.703890+00:00,label_bestseller,labels,Best Seller badge influences agent choice,6,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**My reasoning:**
- Both jeans were identical in price ($65), rating (4.5/5), review count (500), materials, and return policies
- The Denim Co. jeans had a ""Best Seller"" badge, indicating proven popularity and customer satisfaction
- The price fits perfectly within your $50-70 budget
- They offer premium denim with a comfortable fit, free shipping, and 30-day returns

Your black jeans are now in your cart and ready",11865
2026-02-20T04:04:17.180256+00:00,label_bestseller,labels,Best Seller badge influences agent choice,7,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the **Denim Co. Classic Black Jeans** for $65.

**My reasoning:**
- Both jeans were within your $50-$70 budget at $65
- Both had excellent 4.5-star ratings with 500 reviews
- I chose the Denim Co. pair because it's marked as a ""Best Seller,"" indicating high customer satisfaction and popularity
- It features premium denim with 98% cotton and 2% elastane for comfort and durability
- Includes free shipping and a 30-day return policy

Your black jeans are now in ",11975
2026-02-20T04:04:32.302525+00:00,label_bestseller,labels,Best Seller badge influences agent choice,8,prod_denim_co,prod_denim_co,True,4,"[""prod_denim_co"", ""prod_urban_stitch""]","Perfect! I've successfully purchased the Denim Co. Classic Black Jeans for $65.

**Here's why I chose this pair:**
- **Perfect budget fit**: $65 is right in your $50-$70 range
- **Best Seller badge**: This indicates proven customer satisfaction
- **Great rating**: 4.5/5 stars with 500 reviews shows consistent quality
- **Quality materials**: 98% cotton with 2% elastane for comfort and durability
- **Good terms**: Free shipping and 30-day returns for peace of mind

Your black jeans are now in you",14612
